year_month,category,amt
202201,간이주점,23371526772
202201,고기요리,77821866715
202201,닭/오리요리,47026223576
202201,별식/퓨전요리,20861113454
202201,부페,3206953801
202201,분식,35337809312
202201,양식,16482426352
202201,유흥주점,5037986060
202201,음식배달서비스,641198113
202201,일식/수산물,75001869203
202201,제과/제빵/떡/케익,50928141269
202201,중식,24745151675
202201,커피/음료,67496950016
202201,패스트푸드,33791571763
202201,한식,214052365996
202201,휴게소/대형업체,4447617191
202202,간이주점,20026692928
202202,고기요리,62656522345
202202,닭/오리요리,39533453916
202202,별식/퓨전요리,18109013307
202202,부페,2751833798
202202,분식,30033825068
202202,양식,13439800064
202202,유흥주점,4793294081
202202,음식배달서비스,649789476
202202,일식/수산물,59062653693
202202,제과/제빵/떡/케익,41336386707
202202,중식,21134776517
202202,커피/음료,58833110385
202202,패스트푸드,30458564459
202202,한식,177428845378
202202,휴게소/대형업체,3683061212
202203,간이주점,28641166705
202203,고기요리,82127427864
202203,닭/오리요리,48301962823
202203,별식/퓨전요리,22733280006
202203,부페,3181548553
202203,분식,37589593202
202203,양식,15237164162
202203,유흥주점,8342985286
202203,음식배달서비스,583647219
202203,일식/수산물,69915357090
202203,제과/제빵/떡/케익,50949098454
202203,중식,24265535070
202203,커피/음료,73202239853
202203,패스트푸드,34988171452
202203,한식,225037544884
202203,휴게소/대형업체,4161861736
202204,간이주점,40369929599
202204,고기요리,100726312064
202204,닭/오리요리,56221260606
202204,별식/퓨전요리,23874964871
202204,부페,4112645005
202204,분식,42794618251
202204,양식,18764609851
202204,유흥주점,13494988030
202204,음식배달서비스,1349005967
202204,일식/수산물,84262005535
202204,제과/제빵/떡/케익,51942359733
202204,중식,26254275173
202204,커피/음료,87535558887
202204,패스트푸드,36170719923
202204,한식,268169908606
202204,휴게소/대형업체,4813443836
202205,간이주점,49747051049
202205,고기요리,118454330286
202205,닭/오리요리,65350222027
202205,별식/퓨전요리,26581128985
202205,부페,4870271101
202205,분식,47448538995
202205,양식,22194833841
202205,유흥주점,17347107962
202205,음식배달서비스,1645183761
202205,일식/수산물,95099555040
202205,제과/제빵/떡/케익,53597674217
202205,중식,29771208020
202205,커피/음료,97222213724
202205,패스트푸드,38287849271
202205,한식,309127450531
202205,휴게소/대형업체,5398399101
202206,간이주점,48962207626
202206,고기요리,108813680749
202206,닭/오리요리,62561449793
202206,별식/퓨전요리,25429064432
202206,부페,4459087305
202206,분식,45953949652
202206,양식,21005854835
202206,유흥주점,16793493566
202206,음식배달서비스,1095851494
202206,일식/수산물,83802099185
202206,제과/제빵/떡/케익,49213493081
202206,중식,28963192790
202206,커피/음료,93902431587
202206,패스트푸드,37390277199
202206,한식,288744873343
