category,amt,cnt,year_month
간이주점,22766114240.0,578854.0,202201
고기요리,124196114177.0,3247254.0,202201
디저트/음료,117398382246.0,10900093.0,202201
별식/퓨전요리,20774301698.0,1027927.0,202201
분식,34968569481.0,2759080.0,202201
양식,16304454928.0,532550.0,202201
일식/수산물,74843080394.0,1659260.0,202201
중식,24530368663.0,1095657.0,202201
패스트푸드,33408821448.0,2898436.0,202201
한식,213192406675.0,7188859.0,202201
간이주점,19661147742.0,495695.0,202202
고기요리,101610292620.0,2732835.0,202202
디저트/음료,99223701088.0,9392955.0,202202
별식/퓨전요리,18032288155.0,902876.0,202202
분식,29713631712.0,2368064.0,202202
양식,13281105449.0,445599.0,202202
일식/수산물,58911194692.0,1311164.0,202202
중식,20949226464.0,945681.0,202202
패스트푸드,30108605703.0,2580537.0,202202
한식,176702550819.0,6060609.0,202202
간이주점,28285765284.0,703528.0,202203
고기요리,129826102884.0,3381546.0,202203
디저트/음료,123094254922.0,11725295.0,202203
별식/퓨전요리,22654354242.0,1148905.0,202203
분식,37216633432.0,3000925.0,202203
양식,15084549607.0,540157.0,202203
일식/수산물,69771463667.0,1578098.0,202203
중식,24038110188.0,1120520.0,202203
패스트푸드,34577865059.0,3041284.0,202203
한식,224222868592.0,7697268.0,202203
간이주점,39985036510.0,945523.0,202204
고기요리,156322966880.0,3721984.0,202204
디저트/음료,138203101465.0,13227224.0,202204
별식/퓨전요리,23785755327.0,1149156.0,202204
분식,42354998744.0,3276924.0,202204
양식,18581358922.0,620430.0,202204
일식/수산물,84096832567.0,1766085.0,202204
중식,25993962700.0,1172486.0,202204
패스트푸드,35678897736.0,3192018.0,202204
한식,267264171523.0,8641572.0,202204
간이주점,49327750997.0,1152675.0,202205
고기요리,183067485066.0,4064249.0,202205
디저트/음료,149469259901.0,14283366.0,202205
별식/퓨전요리,26478390716.0,1202578.0,202205
분식,47004183517.0,3499204.0,202205
양식,21996699788.0,680343.0,202205
일식/수산물,94928512429.0,1871215.0,202205
중식,29501583988.0,1255180.0,202205
패스트푸드,37793257339.0,3414474.0,202205
한식,308093639341.0,9450299.0,202205
간이주점,48616467467.0,1135208.0,202206
고기요리,170765482726.0,3887175.0,202206
디저트/음료,141820520847.0,13869545.0,202206
별식/퓨전요리,25342448398.0,1169747.0,202206
분식,45544371754.0,3362208.0,202206
양식,20848464456.0,649261.0,202206
일식/수산물,83652291809.0,1693900.0,202206
중식,28709057511.0,1248263.0,202206
패스트푸드,36918987472.0,3307078.0,202206
한식,287889691641.0,8977450.0,202206
간이주점,48562519457.0,1127481.0,202207
고기요리,174086761972.0,3965130.0,202207
디저트/음료,142759932886.0,13978348.0,202207
별식/퓨전요리,24480871366.0,1121037.0,202207
분식,46263928889.0,3346369.0,202207
양식,21331278255.0,651199.0,202207
일식/수산물,82203074230.0,1649327.0,202207
중식,29321820666.0,1247218.0,202207
패스트푸드,37576463760.0,3288796.0,202207
한식,289433815511.0,8993875.0,202207
간이주점,46095341758.0,1079028.0,202208
고기요리,165068275218.0,3838447.0,202208
디저트/음료,142546934320.0,13956136.0,202208
별식/퓨전요리,26758136258.0,1236471.0,202208
분식,47668692633.0,3489592.0,202208
양식,21640560609.0,655213.0,202208
일식/수산물,82126273050.0,1697074.0,202208
중식,29858254278.0,1278031.0,202208
패스트푸드,39289666951.0,3431311.0,202208
한식,288557057790.0,9168586.0,202208
간이주점,47497209029.0,1085243.0,202209
고기요리,157066845699.0,3584560.0,202209
